% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
742	2	5	20	0	20	161	0	1	1
743	1	4	78	0	20	161	0	1	0
743	1	12	82	0	20	161	0	1	0
743	2	7	29	0	20	161	0	1	1
743	2	9	39	0	20	161	0	1	1
744	1	1	87	0	20	161	0	1	0
744	1	6	91	0	20	161	0	1	0
744	2	2	50	0	20	161	0	1	1
744	2	11	58	0	20	161	0	1	1
745	1	3	96	0	20	161	0	1	0
745	1	13	94	0	20	161	0	1	0
745	2	10	63	0	20	161	0	1	1
745	2	8	71	0	20	161	0	1	1
746	1	14	1	0	20	161	0	1	0
746	1	15	12	0	20	161	0	1	0
746	2	4	78	0	20	161	0	1	1
746	2	12	82	0	20	161	0	1	1
747	1	5	20	0	20	161	0	1	0
747	1	7	29	0	20	161	0	1	0
747	2	1	87	0	20	161	0	1	1
747	2	6	91	0	20	161	0	1	1
748	1	2	50	0	20	161	0	1	0
748	1	9	39	0	20	161	0	1	0
748	2	13	94	0	20	161	0	1	1
748	2	3	96	0	20	161	0	1	1
749	1	10	63	0	20	161	0	1	0
749	1	11	58	0	20	161	0	1	0
749	2	14	1	0	20	161	0	1	1
749	2	15	12	0	20	161	0	1	1
750	1	4	78	0	20	161	0	1	0
750	1	8	71	0	20	161	0	1	0
750	2	5	20	0	20	161	0	1	1
750	2	7	29	0	20	161	0	1	1
751	1	1	87	0	20	161	0	1	0
751	1	12	82	0	20	161	0	1	0
751	2	9	39	0	20	161	0	1	1
751	2	2	50	0	20	161	0	1	1
752	1	6	91	0	20	161	0	1	0
752	1	13	94	0	20	161	0	1	0
752	2	11	58	0	20	161	0	1	1
752	2	10	63	0	20	161	0	1	1
753	1	3	96	0	20	161	0	1	0
753	1	14	1	0	20	161	0	1	0
753	2	8	71	0	20	161	0	1	1
753	2	4	78	0	20	161	0	1	1
754	1	5	20	0	20	161	0	1	0
754	1	15	12	0	20	161	0	1	0
754	2	12	82	0	20	161	0	1	1
754	2	1	87	0	20	161	0	1	1
755	1	7	29	0	20	161	0	1	0
755	1	9	39	0	20	161	0	1	0
755	2	6	91	0	20	161	0	1	1
755	2	13	94	0	20	161	0	1	1
756	1	2	50	0	20	161	0	1	0
756	1	11	58	0	20	161	0	1	0
756	2	14	1	0	20	161	0	1	1
756	2	3	96	0	20	161	0	1	1
757	1	8	71	0	20	161	0	1	0
757	1	10	63	0	20	161	0	1	0
757	2	15	12	0	20	161	0	1	1
757	2	5	20	0	20	161	0	1	1
758	1	4	78	0	20	161	0	1	0
758	1	12	82	0	20	161	0	1	0
758	2	7	29	0	20	161	0	1	1
758	2	9	39	0	20	161	0	1	1
759	1	1	87	0	20	161	0	1	0
